employee_id,missing_skill,recommended_course,recommended_certification,recommended_project,recommendation_type,priority
24,Test Automation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
24,Unit Testing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
25,Brand Storytelling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
25,Copywriting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
26,Google Search Console,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
26,Keyword Research,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
26,Technical Seo,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
27,Lead Generation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
28,Brand Storytelling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
28,Editorial Planning,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
28,Team Leadership,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
29,Erp Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
30,Bash Scripting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
31,Git,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
31,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
32,Brand Storytelling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
32,Seo,Technical SEO & Modern Web Visibility Masterclass,Google Analytics & Advanced SEO Certification,Conduct Technical Site Audit and Core Web Vitals Optimization,Digital Marketing,Low
33,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
33,Test Automation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
34,Linux,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
34,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
35,Ahrefs / Semrush,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
35,Technical Seo,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
36,Compliance,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
36,Forensic Accounting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
37,Brand Storytelling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
37,Seo,Technical SEO & Modern Web Visibility Masterclass,Google Analytics & Advanced SEO Certification,Conduct Technical Site Audit and Core Web Vitals Optimization,Digital Marketing,Low
38,Tax Compliance,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
39,Risk Assessment,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
40,Financial Analysis,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
41,Client Retention,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
41,Upselling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
42,Brand Storytelling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
42,Seo,Technical SEO & Modern Web Visibility Masterclass,Google Analytics & Advanced SEO Certification,Conduct Technical Site Audit and Core Web Vitals Optimization,Digital Marketing,Low
43,Brand Storytelling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
44,Security,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
45,Erp Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
45,Quickbooks,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
46,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
46,System Design,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
47,Client Retention,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
47,Contract Negotiation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
48,B2B Sales,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
48,Lead Generation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
49,Hardware Support,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
49,Windows Os,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
50,Api Testing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
50,Jira,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
50,Test Automation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
51,Crm,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
52,Bash Scripting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
53,Google Analytics,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
53,Technical Seo,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
54,Forensic Accounting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
55,Erp Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
55,Excel,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Medium
55,Quickbooks,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
56,Rest Apis,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
56,System Design,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
57,Git,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
57,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
57,System Design,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
58,Ticketing Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
59,Keyword Research,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
59,Technical Seo,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
60,Onboarding,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
61,Hris,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
61,Performance Management,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
62,Test Automation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
62,Unit Testing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
63,Employee Relations,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
64,Active Directory,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
64,Windows Os,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
65,Client Retention,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
66,Brand Storytelling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
66,Seo,Technical SEO & Modern Web Visibility Masterclass,Google Analytics & Advanced SEO Certification,Conduct Technical Site Audit and Core Web Vitals Optimization,Digital Marketing,Low
66,Team Leadership,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
67,Crm,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
67,Lead Generation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
67,Negotiation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
68,Negotiation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
69,Upselling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
70,Excel,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Medium
70,Financial Accounting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
71,Hris,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
72,Content Strategy,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
73,Git,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
73,System Design,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
74,Contract Closing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
74,Crm,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
74,Lead Generation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
75,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
76,Labor Law,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
76,Talent Acquisition,Strategic Talent Acquisition & Competency-Based Sourcing,SHRM-CP / AIRS Certified Diversity Recruiter,Design High-Retention Executive Hiring Funnel,HR Leadership,Low
77,Contract Closing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
78,B2B Sales,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
78,Communication,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
78,Crm,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
79,Copywriting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
79,Team Leadership,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
80,Employee Relations,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
80,Hris,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
81,Ticketing Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
82,Git,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
82,Networking,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
82,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
83,Git,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
83,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
84,Compliance,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
84,Excel,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Medium
84,Risk Assessment,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
85,B2B Sales,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
85,Crm,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
85,Negotiation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
86,B2B Sales,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
86,Contract Closing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
87,Bash Scripting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
87,Customer Support,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
88,Content Strategy,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
89,Ahrefs / Semrush,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
90,Compliance,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
90,Financial Analysis,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
90,Forensic Accounting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
91,Api Testing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
91,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
91,Unit Testing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
92,Erp Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
92,Excel,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Medium
92,Quickbooks,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
93,Client Retention,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
93,Upselling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
94,Ticketing Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
94,Windows Os,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
95,Customer Support,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
95,Linux,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
96,Brand Storytelling,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
97,Hris,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
97,Labor Law,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
97,Performance Management,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
98,Copywriting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
98,Team Leadership,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
99,Onboarding,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
100,Client Retention,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
100,Contract Negotiation,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
101,Hris,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
102,Recruitment,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
103,Account Planning,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
104,Bash Scripting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
104,Linux,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
105,Keyword Research,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
105,Technical Seo,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
106,Excel,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Medium
106,Tax Compliance,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
107,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
108,Communication,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
108,Hris,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
109,Bash Scripting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
109,Troubleshooting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
110,Python,Advanced Python for Enterprise Systems,PCEP / PCAP Certified Associate Python Programmer,Build an Automated Asynchronous ETL Data Pipeline,Technical Courseware,Low
111,Active Directory,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
111,Customer Service,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
112,Security,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
113,System Design,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
114,Ticketing Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
114,Windows Os,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
115,Client Retention,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
115,Crm (Salesforce),Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
116,Ticketing Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
117,Keyword Research,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
118,Recruitment,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
119,Compliance,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
119,Excel,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Medium
119,Forensic Accounting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
120,B2B Sales,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
121,Git,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
122,Sql,Advanced SQL Analytics and Query Optimization,Oracle / PostgreSQL Certified Professional,Optimize High-Throughput Relational Database Queries,Data Engineering,Low
123,Compliance,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
123,Forensic Accounting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
124,Linux,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
124,Networking,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
124,Security,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
125,Erp Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
126,Git,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
126,Sql,Advanced SQL Analytics and Query Optimization,Oracle / PostgreSQL Certified Professional,Optimize High-Throughput Relational Database Queries,Data Engineering,Low
127,Crm,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
128,Hr Operations,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
128,Hris,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
129,Bash Scripting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
129,Troubleshooting,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
130,Jira,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
130,Selenium,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
131,Ticketing Systems,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
132,Onboarding,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
133,Internal Auditing,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
133,Risk Assessment,Professional Competency Masterclass,Enterprise Skill Certification,Cross-Functional Capability Capstone Project,Professional Development,Low
